"episode","first","references"
"S03E02","Grey",0
"S03E03","Grey",0
"S03E04","Grey",0
"S03E05","Grey",6
"S03E06","Grey",0
"S03E07","Grey",1
"S03E08","Grey",0
"S03E09","Grey",1
"S03E10","Grey",0
"S04E01","Grey",1
"S04E02","Grey",0
"S04E03","Grey",1
"S04E04","Grey",2
"S04E05","Grey",0
"S04E06","Grey",0
"S04E07","Grey",0
"S04E08","Grey",2
"S04E09","Grey",0
"S04E10","Grey",0
"S05E01","Grey",0
"S05E02","Grey",0
"S05E03","Grey",0
"S05E04","Grey",0
"S05E05","Grey",0
"S05E06","Grey",0
"S05E07","Grey",0
"S05E08","Grey",0
"S05E09","Grey",0
"S05E10","Grey",1
"S06E01","Grey",0
"S06E02","Grey",0
"S06E03","Grey",0
"S06E04","Grey",1
"S06E05","Grey",0
"S06E06","Grey",0
"S06E07","Grey",0
"S06E08","Grey",1
"S06E09","Grey",0
"S06E10","Grey",0
"S07E01","Grey",0
"S07E02","Grey",3
"S07E03","Grey",1
"S07E04","Grey",1
"S07E05","Grey",1
"S07E06","Grey",0
"S07E07","Grey",0
"S01E01","Jaime",1
"S01E02","Jaime",0
"S01E03","Jaime",2
"S01E04","Jaime",0
"S01E05","Jaime",2
"S01E06","Jaime",8
"S01E07","Jaime",5
"S01E08","Jaime",7
"S01E09","Jaime",5
"S01E10","Jaime",2
"S02E01","Jaime",9
"S02E02","Jaime",2
"S02E03","Jaime",1
"S02E04","Jaime",3
"S02E05","Jaime",1
"S02E06","Jaime",3
"S02E07","Jaime",4
"S02E08","Jaime",4
"S02E09","Jaime",2
"S02E10","Jaime",1
"S03E01","Jaime",3
"S03E02","Jaime",0
"S03E03","Jaime",4
"S03E04","Jaime",2
"S03E05","Jaime",3
"S03E06","Jaime",5
"S03E07","Jaime",1
"S03E08","Jaime",0
"S03E09","Jaime",0
"S03E10","Jaime",0
"S04E01","Jaime",1
"S04E02","Jaime",1
"S04E03","Jaime",4
"S04E04","Jaime",1
"S04E05","Jaime",1
"S04E06","Jaime",1
"S04E07","Jaime",0
"S04E08","Jaime",0
"S04E09","Jaime",0
"S04E10","Jaime",6
"S05E01","Jaime",1
"S05E02","Jaime",2
"S05E03","Jaime",1
"S05E04","Jaime",3
"S05E05","Jaime",0
"S05E06","Jaime",5
"S05E07","Jaime",0
"S05E08","Jaime",1
"S05E09","Jaime",1
"S05E10","Jaime",0
"S06E01","Jaime",0
"S06E02","Jaime",1
"S06E03","Jaime",0
"S06E04","Jaime",0
"S06E05","Jaime",0
"S06E06","Jaime",1
"S06E07","Jaime",2
"S06E08","Jaime",5
"S06E09","Jaime",2
"S06E10","Jaime",0
"S07E01","Jaime",1
"S07E02","Jaime",3
"S07E03","Jaime",1
"S07E04","Jaime",6
"S07E05","Jaime",3
"S07E06","Jaime",1
"S07E07","Jaime",5
"S01E01","Jaqen",0
"S01E02","Jaqen",0
"S01E03","Jaqen",0
"S01E04","Jaqen",0
"S01E05","Jaqen",0
"S01E06","Jaqen",0
"S01E07","Jaqen",0
"S01E08","Jaqen",0
"S01E09","Jaqen",0
"S01E10","Jaqen",0
"S02E01","Jaqen",0
"S02E02","Jaqen",1
"S02E03","Jaqen",0
"S02E04","Jaqen",0
"S02E05","Jaqen",0
"S02E06","Jaqen",0
"S02E07","Jaqen",0
"S02E08","Jaqen",4
"S02E09","Jaqen",0
"S02E10","Jaqen",2
"S03E01","Jaqen",0
"S03E02","Jaqen",2
"S03E03","Jaqen",0
"S03E04","Jaqen",0
"S03E05","Jaqen",0
"S03E06","Jaqen",0
"S03E07","Jaqen",0
"S03E08","Jaqen",0
"S03E09","Jaqen",0
"S03E10","Jaqen",0
"S04E01","Jaqen",0
"S04E02","Jaqen",0
"S04E03","Jaqen",0
"S04E04","Jaqen",0
"S04E05","Jaqen",0
"S04E06","Jaqen",0
"S04E07","Jaqen",0
"S04E08","Jaqen",0
"S04E09","Jaqen",0
"S04E10","Jaqen",0
"S05E01","Jaqen",0
"S05E02","Jaqen",3
"S05E03","Jaqen",0
"S05E04","Jaqen",0
"S05E05","Jaqen",0
"S05E06","Jaqen",0
"S05E07","Jaqen",0
"S05E08","Jaqen",0
"S05E09","Jaqen",0
"S05E10","Jaqen",0
"S06E01","Jaqen",0
"S06E02","Jaqen",0
"S06E03","Jaqen",0
"S06E04","Jaqen",0
"S06E05","Jaqen",0
"S06E06","Jaqen",0
"S06E07","Jaqen",0
"S06E08","Jaqen",0
"S06E09","Jaqen",0
"S06E10","Jaqen",0
"S07E01","Jaqen",0
"S07E02","Jaqen",0
"S07E03","Jaqen",0
"S07E04","Jaqen",0
"S07E05","Jaqen",0
"S07E06","Jaqen",0
"S07E07","Jaqen",0
"S01E01","Jeor",0
"S01E02","Jeor",0
"S01E03","Jeor",0
"S01E04","Jeor",0
"S01E05","Jeor",0
